index,OSM_id
690,38674845
691,38906765
692,39022425
693,39071855
694,39139991
695,39181028
696,39188259
697,39222633
698,39222889
699,39257397
700,39317660
701,39338502
702,39340282
703,39341303
704,39433348
705,39448334
706,39487399
707,39626256
708,39626257
709,39626258
710,39878754
711,39963145
712,39979374
713,40339972
714,40528219
715,40582760
716,40586187
717,40671289
718,40706359
719,40844806
720,40917661
721,41083677
722,41173495
723,41183164
724,41222068
725,41226107
726,41597575
727,41772801
728,41831753
729,41831755
730,41831764
731,41831771
732,41831780
733,41832783
734,41844429
735,42107699
736,42171461
737,42226768
738,42246429
739,42413961
740,42556999
741,42719461
742,42720514
743,42751409
744,42761626
745,42928512
746,43268310
747,43300812
748,43758830
749,43900285
750,43997238
751,43997239
752,44048917
753,44061906
754,44500384
755,44529216
756,44529219
757,44787228
758,44820778
759,45106933
760,45180340
761,45180341
762,45180345
763,45577565
764,45578242
765,45580206
766,45585111
767,45588567
768,45733184
769,45752507
770,45825728
771,46261349
772,46607232
773,46876971
774,47037474
775,47233630
776,47435440
777,47474005
778,47474293
779,47502907
780,48166640
781,48215535
782,48242019
783,48256523
784,48704924
785,49209219
786,50541458
787,50541462
788,50541464
789,50642859
790,50675926
791,50675933
792,50675935
793,51165787
794,51296413
795,51340804
796,51396578
797,51396579
798,51396587
799,51449149
800,51530178
801,51557904
802,51707747
803,51756316
804,51976336
805,51976340
806,52679306
807,52679308
808,52707667
809,53013584
810,53185110
811,53185129
812,53185157
813,53277413
814,53277439
815,53355163
816,53676405
817,53676407
818,53676416
819,53747818
820,53748708
821,53751877
822,55284319
823,55449400
824,55636272
825,55678560
826,55955658
827,56215653
828,56251098
829,56760503
830,56970847
831,57016861
832,57726373
833,58077048
834,58125279
835,58326128
836,58326129
837,58422788
838,58649940
839,58744144
840,58974170
841,59359422
842,60234756
843,60455848
844,60613511
845,60681550
846,60684995
847,60710552
848,60726624
849,60744437
850,60769751
851,60780133
852,60821060
853,60913672
854,61182950
855,61240459
856,61279432
857,61383001
858,61408060
859,61430529
860,61559321
861,61579095
862,61720105
863,61750870
864,61831162
865,61891161
866,62112126
867,62112128
868,62161905
869,62161911
870,62518515
871,63108944
872,63113207
873,63116638
874,63116648
875,65067019
876,65067020
877,65582199
878,69906536
879,70040901
880,70108469
881,70954514
882,70954960
883,71267988
884,71364707
885,71377807
886,72055813
887,72151021
888,72999907
889,73997594
890,74011124
891,74048896
892,74488346
893,74559978
894,74571120
895,74612848
896,74816581
897,74893476
898,75516485
899,75599848
900,75599851
901,75613825
902,75613827
903,75613829
904,75613830
905,75654886
906,75656308
907,75660503
908,75672993
909,75729925
910,76236376
911,76236377
912,76334541
913,76334543
914,76346322
915,76352206
916,76352509
917,76353023
918,76354123
919,76668187
920,76683898
921,76730811
922,76732306
923,76736130
924,76737121
925,76789211
926,77340596
927,77464253
928,77890463
929,77931730
930,77935522
931,78315547
932,78331874
933,78537888
934,78631420
935,78631424
936,78710031
937,78710039
938,78710042
939,78711090
940,78714806
941,78722611
942,79053773
943,79541044
944,79541053
945,79564205
946,79658287
947,80305904
948,80330394
949,80330397
950,80330405
951,80415294
952,80754041
953,80825010
954,80915760
955,81527191
956,82049886
957,82514686
958,83016507
959,83018594
960,83018599
961,83018608
962,83091246
963,83163106
964,83190821
965,83366901
966,83703333
967,83703337
968,83915880
969,84643983
970,84643987
971,84656709
972,84667269
973,84790815
974,84975381
975,85035121
976,85035153
977,85382631
978,85512385
979,85564174
980,85735350
981,86356194
982,86402938
983,86496339
984,86527656
985,86529691
986,86533504
987,86559318
988,86573676
989,86635967
990,86692489
991,86692510
992,86700364
993,86745288
994,86749200
995,86789015
996,86977922
997,86999009
998,87099977
999,87195076
1000,87195086
1001,87202097
1002,87202099
1003,87249729
1004,87315657
1005,87377270
1006,87395163
1007,87395172
1008,87417978
1009,87472213
1010,87538495
1011,87561378
1012,87753989
1013,87756530
1014,88340155
1015,88874098
1016,89533861
1017,89587517
1018,89587533
1019,89644639
1020,90129636
1021,91753012
1022,92880862
1023,93672118
1024,93672255
1025,93870631
1026,94087967
1027,94107463
1028,94107492
1029,94107496
1030,94124158
1031,94332066
1032,94402861
1033,95195870
1034,95202981
1035,95210741
1036,95937693
1037,95937728
1038,95952109
1039,96476966
1040,96596615
1041,96596621
1042,96598498
1043,96700280
1044,96701427
1045,96931610
1046,97097111
1047,97835518
1048,97919225
1049,97921062
1050,98102536
1051,98528235
1052,98571495
1053,100018568
1054,100074574
1055,100640906
1056,100770994
1057,102153883
1058,103434202
1059,105618019
1060,107348023
1061,108262986
1062,108340582
1063,108927655
1064,108954251
1065,111504683
1066,112560504
1067,112619570
1068,112619578
1069,113586395
1070,114323813
1071,114689522
1072,114689525
1073,114921718
1074,115591635
1075,115715547
1076,115757335
1077,116049439
1078,116049452
1079,116049788
1080,116609542
1081,117057367
1082,117099144
1083,117099156
1084,117099170
1085,117349907
1086,117367667
1087,117589028
1088,117623514
1089,117639107
1090,117639110
1091,117643633
1092,117654826
1093,117654832
1094,117718874
1095,118650720
1096,118864079
1097,119051540
1098,121411751
1099,121496104
1100,121565024
1101,121565050
1102,121635472
1103,122505248
1104,122529094
1105,122529096
1106,122529102
1107,122529104
1108,122529116
1109,122586808
1110,122876621
1111,122880938
1112,122886795
1113,122886798
1114,122946787
1115,122948204
1116,123175599
1117,123403675
1118,123406931
1119,124549805
1120,124977841
1121,124977850
1122,125293684
1123,125306779
1124,125351126
1125,125351142
1126,125351167
1127,125351169
1128,125351192
1129,125351286
1130,125417013
1131,125590811
1132,125684051
1133,125684096
1134,125684101
1135,125684102
1136,125813349
1137,125858546
1138,125959160
1139,126301868
1140,126449196
1141,126502543
1142,126560923
1143,126846426
1144,126894678
1145,126906448
1146,127582043
1147,127605823
1148,127607228
1149,128398074
1150,128491531
1151,128498472
1152,128566048
1153,128566049
1154,128615009
1155,128970447
1156,129306536
1157,129306562
1158,129365150
1159,129368964
1160,129785359
1161,130681803
1162,130686055
1163,130689173
1164,130691506
1165,130735711
1166,130996783
1167,131236364
1168,131239525
1169,131271495
1170,131445225
1171,131472582
1172,131698825
1173,131790079
1174,132044513
1175,132044521
1176,132044552
1177,132816266
1178,132816267
1179,132816268
1180,132832283
1181,132932902
1182,132956364
1183,132957004
1184,133104417
1185,133113831
1186,133113954
1187,133113959
1188,133114140
1189,133498090
1190,133540372
1191,134239747
1192,135506286
1193,136019926
1194,136485101
1195,136721671
1196,136721679
1197,136864084
1198,137001954
1199,137353429
1200,137388192
1201,138281210
1202,138281224
1203,138315471
1204,138324261
1205,138350774
1206,138368249
1207,138570796
1208,138605754
1209,138670795
1210,138670797
1211,138670798
1212,138914231
1213,138914235
1214,138988264
1215,139066985
1216,139079951
1217,139079981
1218,139126772
1219,139129412
1220,139188775
1221,139189575
1222,139499433
1223,139917055
1224,140109969
1225,140281588
1226,140281604
1227,140315941
1228,140368732
1229,140370904
1230,140702364
1231,142497101
1232,142497107
1233,143463965
1234,143830443
1235,143830444
1236,144447194
1237,144535837
1238,144800956
1239,144910107
1240,146885472
1241,147633302
1242,148323657
1243,148660271
1244,149576263
1245,151746055
1246,151865758
1247,152244418
1248,152244434
1249,152258455
1250,152633353
1251,152817514
1252,153716505
1253,153777288
1254,155002375
1255,155049209
1256,156205525
1257,156227872
1258,156515001
1259,156518370
1260,156920582
1261,156920583
1262,156934264
1263,157703258
1264,158015761
1265,158034003
1266,158034028
1267,158034040
1268,158034045
1269,158034047
1270,159306556
1271,159761032
1272,159896866
1273,159966489
1274,160030948
1275,160278229
1276,160308970
1277,160402628
1278,160565659
1279,160729515
1280,161014730
1281,161014735
1282,161177384
1283,161639538
1284,161639539
1285,163787404
1286,163787407
1287,165091307
1288,166077804
1289,166525464
1290,166525475
1291,166533650
1292,166895415
1293,167274522
1294,167274536
1295,168361876
1296,169313833
1297,169380073
1298,172879176
1299,173392718
1300,173393320
1301,174136109
1302,174728014
1303,177387861
1304,177511752
1305,177550502
1306,177551495
1307,178272679
1308,178272682
1309,179024912
1310,179024949
1311,179043490
1312,179221265
1313,180392669
1314,180977753
1315,181012372
1316,181263629
1317,182195769
1318,182195772
1319,182504352
1320,183148312
1321,183326652
1322,183403755
1323,183460927
1324,183512801
1325,183705404
1326,183841552
1327,184046305
1328,184156021
1329,184189340
1330,184349911
1331,185427276
1332,187522059
1333,188198723
1334,189765404
1335,190576751
1336,190583507
1337,190584402
1338,190639979
1339,190741311
1340,190981791
1341,190981792
1342,191545362
1343,192592627
1344,192593501
1345,192596483
1346,192596509
1347,192597456
1348,193285685
1349,194112188
1350,195828017
1351,196887726
1352,197277008
1353,199237897
1354,199982712
1355,200003836
1356,200407136
1357,200889262
1358,201115550
1359,202637398
1360,203573983
1361,206111941
1362,206112919
1363,206350052
1364,207704759
1365,207779600
1366,209833317
1367,209860367
1368,209860589
1369,210066052
1370,210338808
1371,210948197
1372,210993082
1373,210993083
1374,211040109
1375,211042302
1376,211042303
1377,211042369
1378,211120148
1379,211199291
1380,211208696
1381,212690608
1382,212694593
1383,212702586
1384,215536493
1385,215827956
1386,217122749
1387,217189183
1388,217696286
1389,217696288
1390,217763007
1391,217763498
1392,217945324
1393,218576356
1394,218601759
1395,220257459
1396,220370231
1397,220625050
1398,221642247
1399,221658223
1400,221882301
1401,222307221
1402,222307274
1403,222389334
1404,222389340
1405,224035478
1406,225662325
1407,229352024
1408,230003873
1409,230515581
1410,230515583
1411,230872806
1412,231106519
1413,231334850
1414,231407433
1415,231697506
1416,232183837
1417,233832571
1418,234162381
1419,234804204
1420,235221146
1421,235591595
1422,235603734
1423,235669581
1424,235732200
1425,235829894
1426,236316584
1427,236320275
1428,237191499
1429,237397873
1430,237399750
1431,238154873
1432,238598656
1433,238733346
1434,238738664
1435,240851011
1436,240859298
1437,241089640
1438,241709712
1439,241752118
1440,242962441
1441,247581838
1442,248372771
1443,250091805
1444,252112261
1445,256557316
1446,257670909
1447,258777291
1448,259734798
1449,260898354
1450,261623848
1451,261623991
1452,261625784
1453,263062841
1454,263226857
1455,263615635
1456,265932306
1457,266161712
1458,268331397
1459,272086631
1460,272345414
1461,276556262
1462,279936910
1463,282019292
1464,282036651
1465,282868572
1466,283723307
1467,284410130
1468,284894300
1469,285128192
1470,285133715
1471,285140328
1472,285150555
1473,285202998
1474,285328360
1475,285328381
1476,286138965
1477,286175725
1478,286175731
1479,286175748
1480,286179571
1481,286243204
1482,286681486
1483,287050889
1484,287182274
1485,287182333
1486,287240558
1487,287549952
1488,287559911
1489,287565430
1490,287565433
1491,288097550
1492,288203474
1493,288611567
